Date,Open,High,Low,Close,Volume
4-Nov-15,112.19,112.53,111.31,112.40,6797075
3-Nov-15,111.92,112.31,111.27,112.08,4584932
2-Nov-15,112.46,112.84,111.23,112.11,5663034
30-Oct-15,112.88,113.29,112.25,112.25,6409469
29-Oct-15,112.66,112.95,111.89,112.62,3752593
28-Oct-15,111.69,112.95,111.40,112.94,4390331
27-Oct-15,112.27,112.35,110.59,111.64,10013342
26-Oct-15,112.23,113.96,111.82,112.18,11478642
23-Oct-15,111.18,112.87,111.10,112.59,11677294
22-Oct-15,110.40,111.00,108.38,110.87,25286588
21-Oct-15,103.98,104.25,102.08,102.54,8308921
20-Oct-15,104.05,104.35,103.42,103.84,4872192
19-Oct-15,104.24,105.15,104.15,104.49,7064295
16-Oct-15,104.72,105.01,103.41,104.82,7168307
15-Oct-15,102.57,105.20,101.60,103.66,10168313
14-Oct-15,104.15,104.93,102.43,102.82,9093040
13-Oct-15,102.85,103.51,102.63,103.38,4697279
12-Oct-15,102.68,103.31,102.51,103.24,3448175
9-Oct-15,103.00,103.44,102.27,102.76,5756563
8-Oct-15,101.85,103.47,101.77,102.95,8218856
7-Oct-15,100.75,101.90,100.34,101.77,6530995
6-Oct-15,101.26,102.30,101.16,101.90,6947516
5-Oct-15,100.27,101.64,100.20,101.17,6501556
2-Oct-15,97.33,99.81,97.13,99.79,4400760
1-Oct-15,98.50,99.00,97.67,98.78,4456559
30-Sep-15,98.21,98.70,97.76,98.53,5517625
29-Sep-15,97.46,97.79,96.80,97.48,6944797
28-Sep-15,97.00,97.74,95.78,95.96,6609789
25-Sep-15,97.89,98.70,97.46,97.59,4825781
24-Sep-15,96.83,97.43,96.30,97.29,4138791
23-Sep-15,97.24,97.85,97.01,97.38,3035339
22-Sep-15,97.12,98.08,96.71,97.20,6254535
21-Sep-15,97.48,98.17,97.01,97.90,4530717
18-Sep-15,96.82,97.70,96.25,97.05,10492672
17-Sep-15,98.57,98.97,97.39,97.84,7584642
16-Sep-15,98.65,98.74,97.53,98.69,5100187
15-Sep-15,97.29,98.59,96.74,98.19,5142633
14-Sep-15,97.36,97.66,96.63,96.97,4557201
11-Sep-15,95.47,97.42,95.26,97.41,6656255
10-Sep-15,94.96,95.85,94.75,95.25,5972880
9-Sep-15,97.29,97.39,95.22,95.43,4831037
8-Sep-15,96.31,96.88,95.49,96.78,5648795
4-Sep-15,95.05,95.58,94.31,94.85,4410886
3-Sep-15,96.80,97.43,95.58,96.01,6109157
2-Sep-15,95.63,96.12,94.55,96.04,6601289
1-Sep-15,92.77,94.28,92.60,93.47,7223913
31-Aug-15,95.77,95.88,94.85,95.02,4672190
28-Aug-15,96.05,96.66,95.78,96.25,5500564
27-Aug-15,95.88,97.37,95.57,97.33,9553409
26-Aug-15,92.93,95.20,91.47,95.15,15507423
25-Aug-15,95.47,95.48,91.03,91.21,10456417
24-Aug-15,91.58,95.88,87.50,92.87,13732868
21-Aug-15,99.38,99.39,97.13,97.13,10826711
20-Aug-15,100.73,101.00,99.74,99.76,6589216
19-Aug-15,100.45,101.88,100.19,101.10,5988961
18-Aug-15,100.00,101.44,100.00,100.76,4257289
17-Aug-15,99.00,100.91,98.92,100.66,5204060
14-Aug-15,99.05,99.56,98.72,99.27,3185582
13-Aug-15,98.07,99.82,97.99,99.37,4636402
12-Aug-15,98.27,98.43,97.23,98.28,4207236
11-Aug-15,98.69,99.16,98.40,98.81,3584996
10-Aug-15,99.49,99.95,98.87,99.39,3994544
7-Aug-15,99.29,99.42,98.45,98.92,3463672
6-Aug-15,99.72,100.18,99.21,99.35,6740241
5-Aug-15,99.83,100.14,99.26,99.80,3560581
4-Aug-15,99.47,99.52,98.77,99.14,2842075
3-Aug-15,100.00,100.18,99.02,99.42,4427299
31-Jul-15,99.65,101.10,99.30,99.86,7646980
30-Jul-15,97.59,99.34,97.59,99.17,5372529
29-Jul-15,97.48,98.39,97.00,98.21,6006535
28-Jul-15,96.48,97.42,96.32,97.33,4862990
27-Jul-15,96.00,96.75,95.70,96.04,5818602
24-Jul-15,97.41,97.41,96.09,96.10,5554624
23-Jul-15,98.90,99.00,96.15,97.09,10380706
22-Jul-15,97.71,98.25,97.43,97.58,5392596
21-Jul-15,97.60,97.72,96.96,97.32,4206703
20-Jul-15,97.78,98.21,97.40,97.49,4947041
17-Jul-15,97.70,98.22,97.00,97.50,6429758
16-Jul-15,99.11,99.11,97.21,97.86,7696176
15-Jul-15,98.15,99.63,97.85,99.07,7572526
14-Jul-15,98.12,99.05,97.96,98.78,5746119
13-Jul-15,98.00,98.50,97.70,98.43,4578676
10-Jul-15,97.25,97.78,96.95,97.65,5179204
9-Jul-15,96.64,97.27,96.44,96.49,5482465
8-Jul-15,95.65,96.59,95.65,95.84,4914297
7-Jul-15,95.93,96.78,95.24,96.68,4794388
6-Jul-15,95.89,96.28,95.25,95.65,3852466
2-Jul-15,96.13,96.60,95.58,96.17,3250897
1-Jul-15,95.10,95.82,94.73,95.76,4446181
30-Jun-15,95.93,96.30,94.54,95.07,6656019
29-Jun-15,96.62,97.23,95.42,95.44,8412817
26-Jun-15,96.13,97.35,95.93,97.29,6039506
25-Jun-15,96.70,96.90,95.78,95.79,4322309
24-Jun-15,96.75,97.45,96.64,96.64,3927133
23-Jun-15,97.59,97.96,97.12,97.18,4541658
22-Jun-15,96.31,97.03,96.14,96.87,3893258
19-Jun-15,96.39,97.14,95.98,96.08,8279349
18-Jun-15,95.69,96.63,95.28,96.17,5100999
17-Jun-15,94.54,95.52,94.54,95.22,3940986
16-Jun-15,94.25,94.67,94.10,94.63,3094773
15-Jun-15,94.74,95.00,94.02,94.30,5861757
12-Jun-15,95.42,95.54,95.00,95.06,3702368
11-Jun-15,95.50,96.33,95.50,95.59,4203867
10-Jun-15,95.02,95.63,94.81,95.30,4828577
9-Jun-15,95.52,95.56,94.49,94.73,7770880
8-Jun-15,96.00,96.04,95.25,95.32,4594648
5-Jun-15,95.93,96.09,95.47,95.54,3959308
4-Jun-15,96.30,96.97,96.01,96.31,4702848
3-Jun-15,96.38,97.07,95.97,96.52,4165709
2-Jun-15,96.30,96.97,95.81,96.29,4430255
1-Jun-15,95.84,96.91,95.84,96.22,4919173
29-May-15,97.59,97.77,95.84,95.93,6439140
28-May-15,98.00,98.21,96.20,96.48,10204033
27-May-15,98.97,99.22,98.20,98.66,8129531
26-May-15,98.85,99.20,98.04,98.46,7123129
22-May-15,99.15,99.48,98.84,98.99,4559491
21-May-15,99.89,99.96,99.06,99.28,4730442
20-May-15,100.88,100.98,99.42,100.11,6185077
19-May-15,98.09,101.08,97.65,100.68,10809150
18-May-15,97.97,98.25,97.62,98.02,4100835
15-May-15,97.74,99.04,97.54,98.04,7607217
14-May-15,97.66,97.87,97.28,97.71,4743954
13-May-15,98.07,98.49,97.28,97.35,6526893
12-May-15,97.39,98.35,96.92,97.95,4848072
11-May-15,98.07,98.39,97.15,97.51,4123700
8-May-15,98.19,99.15,97.79,98.23,7543054
7-May-15,96.27,97.33,96.12,96.78,5019232
6-May-15,96.10,96.66,95.88,96.39,6614471
5-May-15,96.39,96.47,95.57,96.13,7637026
4-May-15,96.57,98.63,96.05,96.13,8426262
1-May-15,96.73,97.97,96.73,97.80,6280298
30-Apr-15,96.65,97.37,96.41,96.55,8300290
29-Apr-15,96.58,97.67,96.07,97.02,5697231
28-Apr-15,96.27,96.89,95.78,96.83,4357419
27-Apr-15,98.74,98.94,96.26,96.44,7282677
24-Apr-15,96.99,99.08,96.84,98.74,7741339
23-Apr-15,97.44,97.52,96.56,97.00,6336484
22-Apr-15,97.00,99.35,96.24,97.84,19254300
21-Apr-15,96.19,96.55,94.54,94.87,5981687
20-Apr-15,95.00,96.26,95.00,96.18,4382441
17-Apr-15,95.13,95.34,94.46,94.88,6933576
16-Apr-15,96.37,97.44,95.50,95.63,5071657
15-Apr-15,97.00,97.55,96.28,96.44,6604429
14-Apr-15,97.16,97.74,96.97,97.58,4961149
13-Apr-15,97.41,97.75,97.07,97.44,5197891
10-Apr-15,96.90,97.95,96.56,97.80,5937847
9-Apr-15,96.85,97.43,96.21,96.55,4790037
8-Apr-15,96.73,97.50,95.98,96.85,4445210
7-Apr-15,96.24,96.79,96.10,96.35,4443683
6-Apr-15,95.75,96.82,95.45,96.28,4501296
2-Apr-15,95.96,96.24,94.71,95.83,6614276
1-Apr-15,96.81,97.02,96.00,96.29,7484752
31-Mar-15,97.82,98.43,97.44,97.44,5616991
30-Mar-15,97.43,98.32,97.37,97.88,4074543
27-Mar-15,97.36,97.85,96.77,96.96,4642382
26-Mar-15,97.60,97.97,96.20,97.64,10445795
25-Mar-15,99.03,99.61,98.11,98.14,6030541
24-Mar-15,98.46,99.84,98.07,99.36,7549944
23-Mar-15,96.80,99.12,96.80,98.62,9232037
20-Mar-15,96.32,97.72,96.12,97.05,10014005
19-Mar-15,96.86,97.01,95.98,95.98,3615389
18-Mar-15,96.01,97.24,95.33,97.00,5830963
17-Mar-15,96.90,97.15,95.99,96.17,4530709
16-Mar-15,96.93,97.47,96.74,97.15,4772244
13-Mar-15,96.24,97.05,95.75,96.35,5152750
